"label","X1","X2","cluster","clusternorm"
"$7",-18.9101019729503,5.0324422810983,770,0.385
"$70",-18.1830112244017,6.94493452762793,1447,0.7235
"$72",-18.9062922299736,5.00346431639837,770,0.385
"$75",-18.515735017209,4.90887044740207,981,0.4905
"$75000",-14.9221107263412,6.58307231182225,1722,0.861
"$8",-18.8941330586487,4.99697206436644,770,0.385
"$80",-18.8621382092726,4.98535789201612,770,0.385
"$86",-18.9127298245754,4.99174748863723,770,0.385
"$87",-18.7597089702087,4.99599746394308,981,0.4905
"$9",-18.9044556659687,4.9887221937929,770,0.385
"$96",-18.5530266203107,4.91926567587546,642,0.321
"$97",-18.4959446765007,4.92515625309044,642,0.321
"%",-29.5116883825621,2.06777942275724,361,0.1805
"%COHb",-21.8011330053964,-4.71186618979919,366,0.183
"&",18.8517856162005,0.710573722262919,48,0.024
"(",-13.0925850000058,11.8743280972502,957,0.4785
")",-13.1953520146187,11.8711286394859,957,0.4785
"*",-2.45439685306815,9.40454161545729,1,5e-04
"**",-2.59800885384568,9.24541109778098,1,5e-04
"***",-2.63728094475931,9.20292182526367,357,0.1785
"****",-2.49679717052833,9.20372273617959,357,0.1785
"*****",-2.80233108242963,9.06320158431542,357,0.1785
"******",-2.67948221006374,9.11209315551994,357,0.1785
"*******",9.0639317262522,2.29812469882284,621,0.3105
"**A",-9.96802100297335,-4.89860376920097,1957,0.9785
"**Alabama",14.0886344716721,17.4339349866902,440,0.22
"**In",-2.03460392112032,8.0367531382355,429,0.2145
"**Includes",-1.65158625055539,7.36348191375844,1681,0.8405
"**Las",29.2408674484827,-1.46980229420927,1762,0.881
"**Questions",17.2748743877876,-5.55293804361612,1289,0.6445
"**The",-2.50981118019073,9.20531881695223,916,0.458
"**Use",18.0611608862583,-9.12098439369764,1957,0.9785
"*A",-9.8757981990044,-4.66406870883582,1488,0.744
"*All",-0.475435355967154,11.340988749695,629,0.3145
"*An",-1.33388831475105,7.33384098391273,670,0.335
"*Arizona",14.0971060505456,17.2245588577873,440,0.22
"*Based",-2.27023799169617,12.5760367160417,1371,0.6855
